aisle,product_name_base,product_name_recommended,lift,confidence,support
eggs,Large Alfresco Eggs,Bag of Organic Bananas,1.6504129122711029,0.213986013986014,0.0034644385571632364
eggs,Organic Grade A Free Range Large Brown Eggs,Bag of Organic Bananas,1.6016092268581368,0.20765832106038293,0.0031927178860131785
fresh fruits,Limes,Bunched Cilantro,5.219730825693099,0.09798149705634987,0.005275909698163621
fresh fruits,Limes,Organic Cilantro,4.9425209086678645,0.1543313708999159,0.008310123859339266
fresh fruits,Limes,Jalapeno Peppers,4.916698173625203,0.08494533221194281,0.004573964631025972
fresh fruits,Strawberries,Raspberries,3.547213720101868,0.09228876127973748,0.005094762584063582
fresh fruits,Limes,Large Lemon,3.2333727696583114,0.21656854499579478,0.011661345470189977
fresh fruits,Large Lemon,Limes,3.233372769658311,0.17410412440838402,0.011661345470189977
fresh fruits,Organic Blackberries,Organic Raspberries,3.1912700623285435,0.1544943820224719,0.003736159228313294
fresh fruits,Organic Lemon,Organic Garlic,3.1855547093170853,0.12659123055162658,0.004053166677988361
fresh fruits,Limes,Organic Red Onion,3.059309087535598,0.09545836837678723,0.005140049362588593
fresh fruits,Organic Lemon,Organic Cucumber,3.049399876312677,0.11386138613861385,0.003645585671263275
fresh herbs,Bunched Cilantro,Limes,5.219730825693099,0.28106151990349815,0.005275909698163621
fresh herbs,Organic Cilantro,Limes,4.9425209086678645,0.2661348803480783,0.008310123859339266
fresh herbs,Organic Italian Parsley Bunch,Organic Cilantro,4.494790275180336,0.14035087719298245,0.0032606480538006927
fresh herbs,Organic Cilantro,Organic Italian Parsley Bunch,4.494790275180336,0.10442349528643945,0.0032606480538006927
fresh herbs,Organic Italian Parsley Bunch,Organic Garlic,4.439281251561953,0.17641325536062377,0.004098453456513371
fresh herbs,Organic Cilantro,Organic Red Onion,3.834679112669727,0.11965192168237854,0.003736159228313294
fresh herbs,Organic Cilantro,Organic Garlic,3.6861121957568654,0.14648295866569977,0.004573964631025972
fresh herbs,Organic Italian Parsley Bunch,Organic Yellow Onion,3.541432958431418,0.145224171539961,0.003373865000113217
fresh herbs,Organic Cilantro,Organic Yellow Onion,2.988563964716468,0.12255257432922409,0.0038267327853633132
fresh herbs,Organic Italian Parsley Bunch,Large Lemon,2.3428199470955953,0.15692007797270954,0.003645585671263275
fresh vegetables,Orange Bell Pepper,Yellow Bell Pepper,18.941070509521364,0.20114942528735635,0.0031700744967506737
fresh vegetables,Yellow Bell Pepper,Orange Bell Pepper,18.94107050952136,0.2985074626865672,0.0031700744967506737
fresh vegetables,Green Bell Pepper,Red Peppers,6.286826194099191,0.1564482029598309,0.003351221610850712
fresh vegetables,Red Peppers,Green Bell Pepper,6.286826194099191,0.13466787989080983,0.003351221610850712
fresh vegetables,Organic Ginger Root,Organic Garlic,5.6416744927288764,0.22419533851276358,0.004573964631025972
fresh vegetables,Organic Garlic,Organic Ginger Root,5.641674492728876,0.11509971509971509,0.004573964631025972
fresh vegetables,Organic Garlic,Organic Yellow Onion,5.00225119993204,0.20512820512820515,0.008151620134501733
fresh vegetables,Organic Yellow Onion,Organic Garlic,5.002251199932039,0.19878520154610713,0.008151620134501733
fresh vegetables,Jalapeno Peppers,Limes,4.916698173625203,0.26474442988204455,0.004573964631025972
fresh vegetables,Organic Garlic,Organic Italian Parsley Bunch,4.439281251561953,0.10313390313390312,0.004098453456513371
milk,Organic Whole Milk,Organic Strawberries,1.7851240528432892,0.16908212560386474,0.007132667617689016
milk,Organic Whole Milk,Bag of Organic Bananas,1.5855981951974298,0.20558239398819111,0.008672418087539343
milk,Organic Whole Milk,Organic Raspberries,1.519002815399285,0.07353730542136339,0.003102144328963159
packaged cheese,Organic Whole String Cheese,Organic Strawberries,2.283765087664864,0.21631205673758863,0.00414374023503838
packaged cheese,Organic Whole String Cheese,Bag of Organic Bananas,1.7139364303178481,0.2222222222222222,0.004256957181350904
packaged produce,Raspberries,Organic Blueberries,3.7488519305197587,0.15839860748476936,0.004121096845775876
packaged produce,Raspberries,Strawberries,3.5472137201018676,0.19582245430809397,0.005094762584063582
packaged produce,Raspberries,Organic Strawberries,1.699896198026452,0.16100957354221063,0.0041890270135633905
packaged produce,Hass Avocados,Bag of Organic Bananas,1.6087305588501857,0.2085816448152563,0.003962593120938342
packaged vegetables fruits,Organic Blueberries,Raspberries,3.748851930519759,0.09753483386923903,0.004121096845775876
packaged vegetables fruits,Organic Raspberries,Organic Blackberries,3.191270062328544,0.07717492984097286,0.003736159228313294
packaged vegetables fruits,Organic Grape Tomatoes,Organic Cucumber,2.9817666454703255,0.11133603238866396,0.003736159228313294
packaged vegetables fruits,Organic Raspberries,Organic Strawberries,2.651778759722133,0.25116931711880264,0.012159500033965084
packaged vegetables fruits,Seedless Red Grapes,Strawberries,2.535036848628598,0.13994565217391305,0.004664538188075992
packaged vegetables fruits,Organic Raspberries,Organic Large Extra Fancy Fuji Apple,2.48759126097656,0.06314312441534144,0.0030568575504381496
packaged vegetables fruits,Organic Raspberries,Organic Hass Avocado,2.4711637430289386,0.17072029934518243,0.008264837080814257
packaged vegetables fruits,Organic Blueberries,Organic Raspberries,2.457492502834936,0.11897106109324761,0.0050268324162760685
packaged vegetables fruits,Organic Raspberries,Organic Blueberries,2.457492502834936,0.1038353601496726,0.0050268324162760685
packaged vegetables fruits,Organic Baby Spinach,Organic Garnet Sweet Potato (Yam),2.3808984693415454,0.052617732175743226,0.004528677852500962
soy lactosefree,Organic Unsweetened Almond Milk,Organic Hass Avocado,2.249817109144543,0.15542857142857142,0.0030795009397006543
soy lactosefree,Organic Unsweetened Almond Milk,Organic Baby Spinach,2.1909707971586423,0.18857142857142856,0.003736159228313294
soy lactosefree,Organic Unsweetened Almond Milk,Bag of Organic Bananas,1.8334222843171497,0.2377142857142857,0.004709824966601001
soy lactosefree,Unsweetened Original Almond Breeze Almond Milk,Banana,1.7886396653892243,0.2720848056537103,0.003487081946425741
